energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
293.0,0.5,0.5,0.0025922509225092,0.0147547547547547,14.4,13.2,1.3285714285714283,0.5,0.01,0.0039370078740157,0.0001645918297872,0.0294559829059829,0.1280611510791366,0.006846875,-3.0,3021761205012,4
280.0,0.5,0.5,0.0025968634686346,0.0147447447447447,14.1,13.2,1.3142857142857145,0.5,0.01,0.0039370078740157,0.0001646039148936,0.0293959401709401,0.1280935251798561,0.0068609375,-3.0,3021761205029,4
275.0,0.6,0.23,0.0026014760147601,0.0147347347347347,14.0,12.6,1.3,0.3,0.00762,0.003,0.000164616,0.0293358974358974,0.1281258992805755,0.006875,-4.0,3021761205104,4
293.0,0.6,0.5,0.0026060885608856,0.0147247247247247,14.8,13.7,1.3,0.5,0.01,0.0039370078740157,0.0001646280851063,0.0292758547008547,0.1281582733812949,0.0068890625,-2.0,3021762408078,4
298.0,0.6,0.22,0.002610701107011,0.0147147147147147,15.4,14.4,1.3,0.3,0.00762,0.003,0.0001646401702127,0.0292158119658119,0.1281906474820144,0.006903125,-3.0,3021762412129,4
274.0,0.6,0.556,0.0026660516605166,0.0145945945945945,14.0,12.6,1.3,0.3,0.00847,0.00333,0.0001647851914893,0.0284952991452991,0.1285791366906475,0.007071875,-4.0,3021769505602,4
450.0,4.6,1.7,0.0026983394833948,0.0145245245245245,7.5,1.5,2.9,7.6,0.96,0.377952755905512,0.000164869787234,0.028075,0.1288057553956834,0.0071703125,-2.0,3022825850117,4
318.0,1.3,0.8,0.0027260147601476,0.0144644644644644,11.4,9.9,2.0,3.6,0.2,0.078740157480315,0.0001649422978723,0.0277147435897435,0.129,0.0072546875,-2.0,3023290214701,4
171.0,0.1,0.0,0.0027398523985239,0.0144344344344344,4.7,4.4,0.0,4.4,0.16,0.062992125984252,0.0001649785531914,0.0275346153846153,0.143,0.007296875,-2.0,3023290230114,4
297.0,1.0,0.6,0.0027444649446494,0.0144244244244244,10.6,9.0,2.1,3.6,0.19,0.0748031496062992,0.0001649906382978,0.0274745726495726,0.143,0.0073109375,-3.0,3023290330081,4
159.0,0.1,0.0,0.0027490774907749,0.0144144144144144,4.7,4.3,0.0,4.4,0.16,0.062992125984252,0.0001650027234042,0.0274145299145299,0.143,0.007325,-2.0,3023290419663,4
210.0,0.2,0.0,0.0027536900369003,0.0144044044044044,7.5,6.9,0.2,4.4,0.1778,0.07,0.0001650148085106,0.0273544871794871,0.145,0.0073390625,-1.0,3023290419984,4
331.0,1.9,1.2,0.0027583025830258,0.0143943943943943,8.4,8.0,0.4,6.6,0.254,0.1,0.000165026893617,0.0272944444444444,0.14425,0.007353125,-1.0,3023290458976,4
298.0,0.8,0.5,0.0027629151291512,0.0143843843843843,10.8,9.1,2.6,3.7,0.22,0.0866141732283465,0.0001650389787234,0.0272344017094017,0.1435,0.0073671875,-3.0,3023290471500,4
